feature,angry_mean,angry_std,happy_mean,happy_std,neutral_mean,neutral_std,sad_mean,sad_std,surprise_mean,surprise_std,signal_ratio
MAR,0.2024,0.2154,0.1885,0.1324,0.0702,0.0847,0.0909,0.1113,0.3053,0.2095,4.349
lip_tight,0.1118,0.1202,0.125,0.085,0.0363,0.0431,0.0495,0.0625,0.1485,0.1009,4.091
ear_L,0.2826,0.1049,0.2626,0.0955,0.3011,0.0948,0.2604,0.1137,0.3811,0.0771,1.464
ear_R,0.2778,0.0946,0.2601,0.0946,0.2973,0.0909,0.2578,0.1245,0.3688,0.0681,1.431
brow_raise_R,0.0754,0.0404,0.0827,0.0442,0.0823,0.0432,0.0741,0.0579,0.1032,0.0325,1.393
brow_raise_L,0.0792,0.0398,0.0867,0.0418,0.0864,0.0414,0.0781,0.0535,0.1067,0.0318,1.366
lip_pull,0.5681,0.0671,0.6833,0.0853,0.5537,0.0594,0.5544,0.0623,0.525,0.0798,1.302
nose_lip,0.2444,0.0536,0.2172,0.0467,0.2558,0.047,0.2549,0.0667,0.2662,0.044,1.226
lip_droop,0.7561,0.0627,0.7237,0.0569,0.7683,0.0604,0.7628,0.0657,0.7929,0.0626,1.096
jaw_open,0.8211,0.1719,0.8088,0.1444,0.7818,0.1424,0.7848,0.2095,0.8309,0.1266,1.063
inter_brow,0.2966,0.0164,0.2985,0.0157,0.3004,0.0155,0.297,0.0222,0.3056,0.0152,1.03
face_AR,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
brow_eye_R,-0.1303,0.0573,-0.1341,0.0635,-0.1386,0.0633,-0.1495,0.0804,-0.1374,0.0467,0.872
brow_eye_L,-0.121,0.0561,-0.1279,0.0631,-0.1312,0.064,-0.1428,0.0862,-0.1312,0.0449,0.847
cheek_R,-0.1346,0.0632,-0.1495,0.0637,-0.1384,0.0644,-0.1232,0.0946,-0.1445,0.0523,0.824
cheek_L,-0.1336,0.063,-0.1483,0.0624,-0.1364,0.0619,-0.1213,0.091,-0.1417,0.0517,0.818
mouth_curl,-0.1143,0.1252,-0.126,0.0872,-0.0363,0.0449,-0.0482,0.0644,-0.1553,0.1058,0.234
